Date,Open,High,Low,Close,Adj Close,Volume,EPS
2015-01-02,43.560001,43.939999,43.27,43.84,43.821693,965900,0.9
2015-01-05,44.32,44.779999,42.82,43.07,43.052013,1770400,0.9
2015-01-06,42.52,42.619999,40.650002,40.81,40.792961,1808300,0.9
2015-01-07,41.599998,42.459999,40.849998,42.33,42.312325,1504600,0.9
2015-01-08,43.689999,44.939999,43.450001,44.74,44.721317,2261200,0.9
2015-01-09,44.290001,44.599998,43.619999,43.83,43.811699,803900,0.9
2015-01-12,44.040001,44.299999,43.27,43.65,43.631775,1202700,0.9
2015-01-13,44.07,44.720001,43.919998,44.52,44.501408,1894500,0.9
2015-01-14,43.869999,44.18,42.889999,43.59,43.571796,1618000,0.9
2015-01-15,45.240002,45.439999,44.790001,45.12,45.101158,1517300,0.9
2015-01-16,45.119999,45.439999,44.66,45.21,45.19112,872600,0.9
2015-01-20,47.040001,47.139999,45.950001,46,45.980789,2615100,0.9
2015-01-21,45.889999,46.900002,45.77,46.78,46.760464,1545200,0.9
2015-01-22,47.419998,48.91,46.439999,48.84,48.819607,3044500,0.9
2015-01-23,49.459999,50.740002,49.299999,50.72,50.698822,2268800,0.9
2015-01-26,50.689999,51.73,50.650002,51.44,51.418518,2346700,0.9
2015-01-27,50.279999,51.41,50.279999,50.66,50.638844,2555700,0.9
2015-01-28,50.41,50.84,49.919998,50.02,49.999111,1287600,0.9
2015-01-29,50.619999,51.200001,49.759998,51.15,51.128643,1603000,0.9
2015-01-30,49.889999,50.110001,48.73,49.32,49.299404,1328700,0.9
2015-02-02,49.84,50.889999,49.810001,50.76,50.7388,1106300,0.9
2015-02-03,51.259998,51.799999,50.580002,51.47,51.448509,1824100,0.9
2015-02-04,50.759998,51.049999,49.459999,50.54,50.518894,1450000,0.9
2015-02-05,49.830002,50.25,47.299999,47.85,47.830017,3348600,0.9
2015-02-06,47.830002,47.889999,46.509998,46.67,46.650509,1992400,0.9
2015-02-09,46,46.700001,45.580002,46.44,46.420605,1102100,0.9
2015-02-10,47.509998,48.25,47.400002,47.79,47.770042,1203100,0.9
2015-02-11,47.610001,47.950001,47.060001,47.78,47.760048,1018500,0.9
2015-02-12,47.91,48.369999,47.57,47.92,47.899986,1239200,0.9
2015-02-13,48.220001,48.77,47.959999,48.34,48.319813,748500,0.9
2015-02-17,48.34,49.07,48.279999,48.66,48.639679,1229000,0.9
2015-02-18,49.119999,49.290001,48.84,48.92,48.89957,503900,0.9
2015-02-19,48.43,49.549999,48.220001,49.22,49.199448,611800,0.9
2015-02-20,48.759998,49.66,48.73,49.56,49.539307,517000,0.9
2015-02-23,48.98,49,48.52,48.97,48.949551,851100,0.9
2015-02-24,48.200001,48.400002,47.610001,48.28,48.259838,996400,0.9
2015-02-25,48.450001,48.540001,48.130001,48.43,48.409775,430000,0.9
2015-02-26,47.939999,48.740002,47.900002,48.65,48.629684,815500,0.9
2015-02-27,48.790001,49.450001,48.639999,49.22,49.199448,997700,0.9
2015-03-02,49.360001,50.060001,48.689999,48.91,48.889576,1409900,0.9
2015-03-03,48.709999,48.869999,47.389999,47.61,47.590118,1445100,0.9
2015-03-04,48.040001,48.59,47.57,48.35,48.329807,876600,0.9
2015-03-05,48.419998,48.77,48.18,48.45,48.429768,821500,0.9
2015-03-06,48,48.43,47.610001,47.7,47.68008,761600,0.9
2015-03-09,47.880001,47.970001,47.41,47.5,47.480164,708800,0.9
2015-03-10,47.25,47.259998,46.59,46.93,46.910404,720500,0.9
2015-03-11,46.529999,46.580002,45.880001,46.52,46.500576,721400,0.9
2015-03-12,47.299999,48.02,47.209999,47.57,47.550137,1009900,0.9
2015-03-13,46.84,47.200001,46.540001,46.86,46.840431,618500,0.9
2015-03-16,47.150002,47.439999,46.860001,46.91,46.890411,434500,0.9
2015-03-17,47.240002,47.77,47.060001,47.54,47.520149,938500,0.9
2015-03-18,47.07,48.07,46.720001,47.77,47.750053,907300,0.9
2015-03-19,46.799999,46.98,46.259998,46.4,46.380627,861800,0.9
2015-03-20,46.810001,47.279999,46.470001,46.9,46.880417,557600,0.9
2015-03-23,46.849998,47.189999,46.720001,46.72,46.700493,748300,0.9
2015-03-24,45.610001,45.93,45.400002,45.57,45.550972,1740300,0.9
2015-03-25,45.700001,45.709999,44.049999,44.15,44.131565,1730600,0.9
2015-03-26,43.919998,44.119999,43.310001,43.34,43.321903,1537400,0.9
2015-03-27,44.220001,44.220001,43.790001,44,43.981625,1551100,0.9
2015-03-30,45.040001,45.529999,44.450001,44.52,44.501408,1690700,0.9
2015-03-31,45.16,45.59,44.650002,45.06,45.041183,1928000,0.9
2015-04-01,46.009998,46.18,45.490002,45.99,45.970798,1790500,0.42
2015-04-02,45.84,46.189999,45.029999,45.59,45.570961,845000,0.42
2015-04-06,45.900002,46.709999,45.900002,46.35,46.330643,918400,0.42
2015-04-07,46.169998,46.220001,45.66,45.89,45.870834,743800,0.42
2015-04-08,46.240002,46.299999,45.43,45.63,45.610947,795800,0.42
2015-04-09,45.580002,45.68,45.02,45.27,45.251095,1022300,0.42
2015-04-10,45.25,45.610001,45.200001,45.59,45.570961,854600,0.42
2015-04-13,45.43,45.639999,44.119999,44.21,44.191536,1878500,0.42
2015-04-14,44.369999,44.709999,44.18,44.53,44.511402,1533800,0.42
2015-04-15,44.220001,44.290001,43.560001,43.9,43.881668,1559700,0.42
2015-04-16,43.889999,44.209999,43.740002,44.01,43.991619,2772300,0.42
2015-04-17,43.73,43.740002,43.259998,43.31,43.291916,1778800,0.42
2015-04-20,43.200001,43.25,42.52,42.62,42.6022,2534800,0.42
2015-04-21,42.68,42.779999,42.27,42.42,42.402283,2027400,0.42
2015-04-22,42.23,42.580002,42.07,42.53,42.512238,1654300,0.42
2015-04-23,41.470001,41.84,41.27,41.76,41.742561,2808600,0.42
2015-04-24,41.759998,42.200001,41.759998,42.11,42.092415,1852000,0.42
2015-04-27,41.91,42.650002,41.810001,42.41,42.392288,1918900,0.42
2015-04-28,42.720001,43,42.43,42.88,42.862095,1426500,0.42
2015-04-29,42.400002,42.66,42.110001,42.24,42.222363,1136000,0.42
2015-04-30,41.709999,41.709999,41.049999,41.19,41.172798,1659900,0.42
2015-05-01,41.389999,41.509998,40.91,41.31,41.292751,1109500,0.42
2015-05-04,41.330002,41.450001,41.130001,41.18,41.162804,739700,0.42
2015-05-05,41.68,41.740002,40.889999,40.95,40.932899,1138400,0.42
2015-05-06,40.84,40.950001,39.810001,40.08,40.063263,1460200,0.42
2015-05-07,39.650002,40.049999,39.630001,39.96,39.943314,1183500,0.42
2015-05-08,41.610001,42.900002,41.299999,42.63,42.612198,2265900,0.42
2015-05-11,43.09,43.380001,41.919998,42.04,42.022446,1535700,0.42
2015-05-12,41.57,41.77,41.27,41.41,41.392708,994300,0.42
2015-05-13,42.040001,42.279999,41.59,41.7,41.682587,857800,0.42
2015-05-14,42.16,42.48,41.959999,42.25,42.232357,1375400,0.42
2015-05-15,42.220001,42.48,41.98,42.42,42.402283,798400,0.42
2015-05-18,42.27,42.380001,41.66,41.7,41.682587,1602900,0.42
2015-05-19,41.52,41.610001,40.889999,41.06,41.042854,1479600,0.42
2015-05-20,41.110001,41.419998,40.919998,40.95,40.932899,2259900,0.42
2015-05-21,41.169998,41.43,40.990002,41.19,41.172798,1487000,0.42
2015-05-22,41.330002,41.59,41.169998,41.17,41.152805,1428700,0.42
2015-05-26,39.869999,40.400002,37.779999,37.84,37.8242,4709500,0.42
2015-05-27,38.009998,38.240002,37.560001,37.9,37.884174,2675800,0.42
2015-05-28,38.5,38.990002,38.389999,38.6,38.583881,1504100,0.42
2015-05-29,38.700001,38.880001,38.07,38.3,38.284004,2011600,0.42
2015-06-01,38.349998,38.490002,37.740002,37.91,37.894169,1506700,0.42
2015-06-02,37.509998,37.630001,37.130001,37.25,37.234444,1319800,0.42
2015-06-03,37.119999,37.139999,36.549999,36.79,36.774639,2023100,0.42
2015-06-04,36.439999,36.810001,35.889999,36.09,36.074928,2219600,0.42
2015-06-05,35.389999,35.490002,34.560001,34.97,34.955399,3595700,0.42
2015-06-08,34.790001,35.080002,34.599998,34.64,34.625534,1899300,0.42
2015-06-09,35.029999,35.18,34.5,34.58,34.565563,1576300,0.42
2015-06-10,35.48,35.709999,34.990002,35.34,35.325241,2816000,0.42
2015-06-11,34.599998,34.799999,34.150002,34.61,34.595547,2228700,0.42
2015-06-12,34.02,34.419998,33.959999,34.33,34.315666,2213000,0.42
2015-06-15,34.389999,34.689999,34.18,34.38,34.365643,1745000,0.42
2015-06-16,34.59,34.82,34.380001,34.56,34.54557,1646600,0.42
2015-06-17,34.599998,34.779999,34.23,34.73,34.715496,1462400,0.42
2015-06-18,35.41,35.639999,35.330002,35.37,35.355228,2442600,0.42
2015-06-19,34.799999,35.07,34.650002,34.77,34.755482,1673600,0.42
2015-06-22,35.360001,35.689999,35.25,35.57,35.555145,2252200,0.42
2015-06-23,35.41,35.450001,35.139999,35.23,35.215286,1734000,0.42
2015-06-24,34.740002,35.049999,34.380001,34.99,34.975391,2105400,0.42
2015-06-25,35.040001,35.66,34.93,34.98,34.965393,2250000,0.42
2015-06-26,35.259998,35.259998,34.830002,34.9,34.885429,1216300,0.42
2015-06-29,34.419998,34.599998,33.98,34.01,33.995796,1592500,0.42
2015-06-30,34.77,34.889999,34.34,34.47,34.455608,1556300,0.42
2015-07-01,35.439999,35.669998,34.540001,34.56,34.54557,2046900,0.66
2015-07-02,34.540001,34.700001,34.16,34.35,34.335655,1461700,0.66
2015-07-06,34.259998,34.259998,33.740002,33.81,33.795883,1934600,0.66
2015-07-07,33.93,33.98,32.619999,33.06,33.046196,4362300,0.66
2015-07-08,31.77,31.77,30.32,30.82,30.807129,5152000,0.66
2015-07-09,31.299999,31.52,31.139999,31.14,31.126995,2655100,0.66
2015-07-10,31.92,31.93,31.34,31.51,31.496841,1357000,0.66
2015-07-13,31.85,32.189999,31.610001,31.66,31.646778,1290000,0.66
2015-07-14,30.77,30.9,30.120001,30.74,30.727163,2799200,0.66
2015-07-15,31.129999,31.5,30.719999,30.84,30.827122,2096000,0.66
2015-07-16,31.23,31.27,30.91,31.12,31.107006,1697700,0.66
2015-07-17,31.08,31.17,30.629999,31.1,31.087013,1123800,0.66
2015-07-20,30.700001,30.75,30,30.5,30.487263,2609500,0.66
2015-07-21,30.52,30.799999,30.379999,30.66,30.647196,1445500,0.66
2015-07-22,30.66,30.73,30.07,30.19,30.177393,2274100,0.66
2015-07-23,31.15,31.18,30.459999,30.49,30.477268,2637700,0.66
2015-07-24,30.35,30.49,29.6,29.73,29.717585,3575600,0.66
2015-07-27,29.18,29.200001,28.469999,28.72,28.708006,3318900,0.66
2015-07-28,28.74,29.040001,28.629999,28.85,28.837954,2387400,0.66
2015-07-29,29.209999,29.360001,29.049999,29.21,29.197802,1570000,0.66
2015-07-30,29.309999,29.57,29.25,29.44,29.427706,1476100,0.66
2015-07-31,29.74,30.27,29.59,29.66,29.647614,2010000,0.66
2015-08-03,30.07,30.15,29.549999,29.68,29.667606,2328700,0.66
2015-08-04,29.469999,29.58,28.870001,28.9,28.887932,2534500,0.66
2015-08-05,29.280001,29.610001,29.16,29.26,29.247782,3156100,0.66
2015-08-06,29.610001,29.889999,29.450001,29.69,29.677603,2465100,0.66
2015-08-07,30,30.59,29.5,29.96,29.947489,2716000,0.66
2015-08-10,29.9,30.379999,29.83,30.31,30.297342,2177400,0.66
2015-08-11,28.83,28.85,28.23,28.46,28.448114,3372200,0.66
2015-08-12,27.58,27.66,26.959999,27.45,27.438538,4057700,0.66
2015-08-13,26.940001,27.459999,26.790001,26.82,26.8088,3190200,0.66
2015-08-14,27.23,27.51,26.879999,26.89,26.878771,3372000,0.66
2015-08-17,26.940001,27.02,26.629999,27.01,26.99872,2164500,0.66
2015-08-18,26.540001,26.85,26.530001,26.77,26.758821,2118000,0.66
2015-08-19,26.6,26.73,26.34,26.51,26.49893,2752300,0.66
2015-08-20,25.99,26.040001,25.65,25.67,25.659281,2517400,0.66
2015-08-21,25.309999,25.32,24.459999,24.46,24.449785,3266300,0.66
2015-08-24,22.360001,22.879999,21.870001,22.49,22.480608,4121700,0.66
2015-08-25,24.83,25.08,23.5,23.5,23.490187,3898700,0.66
2015-08-26,24.82,25.040001,24.08,24.6,24.589727,3775600,0.66
2015-08-27,25.049999,25.719999,25.01,25.41,25.399389,2979600,0.66
2015-08-28,25.35,25.73,25.32,25.65,25.639288,1460700,0.66
2015-08-31,25.24,25.540001,25.129999,25.32,25.309427,1629600,0.66
2015-09-01,24.440001,24.639999,24.139999,24.24,24.229877,2202600,0.66
2015-09-02,24.5,24.52,24.02,24.41,24.399807,1234600,0.66
2015-09-03,24.92,25.57,24.9,25.06,25.049534,1927800,0.66
2015-09-04,24.200001,24.51,23.940001,24.15,24.139915,1896800,0.66
2015-09-08,24.92,25.09,24.67,24.83,24.819632,1596600,0.66
2015-09-09,25.65,25.870001,25.25,25.32,25.309427,2362500,0.66
2015-09-10,26.209999,26.48,25.940001,25.99,25.979147,3103700,0.66
2015-09-11,25.559999,25.92,25.16,25.7,25.689268,1632000,0.66
2015-09-14,25.76,25.959999,25.52,25.72,25.709259,1452100,0.66
2015-09-15,25.219999,25.6,24.99,25.35,25.339415,2101100,0.66
2015-09-16,25.24,25.92,25.129999,25.84,25.82921,1366800,0.66
2015-09-17,25.65,26.290001,25.5,25.79,25.779232,1939400,0.66
2015-09-18,24.83,25.25,24.719999,25,24.989561,3054400,0.66
2015-09-21,25.209999,25.33,24.92,25.06,25.049534,1085100,0.66
2015-09-22,23.92,24.040001,23.15,23.6,23.590145,2178200,0.66
2015-09-23,23.459999,23.52,22.98,23.21,23.200306,1587900,0.66
2015-09-24,22.77,22.940001,22.25,22.93,22.920425,1458200,0.66
2015-09-25,23.16,23.219999,22.73,22.88,22.870445,1527000,0.66
